Supplementary Table 7. 109 significantly enriched genes in cases with four features												
												
Gene Symbol	Ensenbl ID	Gene set	Inheritance	Two-hit preference						TAU score	LOEUF	Cluster
GSS	ENSG00000100983	OMIM	AR	3	83	0	0.00	0.081	0.146	0.139	0.785	1
GUCY2C	ENSG00000070019	OMIM	ADAR	5	317	0	0.00	0.856	0.899	0.974	1.079	2
HFM1	ENSG00000162669	OMIM	AR	5	410	1	1.34	0.272	0.379	0.889	0.930	3
HMCN1	ENSG00000143341	OMIM	AD	8	228	1	1.66	0.148	0.237	0.759	0.483	3
IFIH1	ENSG00000115267	OMIM	AD	10	269	1	0.88	0.437	0.545	0.318	1.548	4
IL31RA	ENSG00000164509	OMIM	AD	5	399	1	1.40	0.250	0.355	0.997	1.034	3
IQCE	ENSG00000106012	OMIM	AR	11	182	1	1.23	0.271	0.378	0.443	1.577	4
KREMEN1	ENSG00000183762	OMIM	AR	3	523	1	1.51	0.255	0.361	0.295	0.642	1
LDB3	ENSG00000122367	OMIM	AD	4	615	0	0.00	0.799	0.855	0.660	0.676	3
LIPH	ENSG00000163898	OMIM	AR	11	262	0	0.00	0.770	0.835	0.710	1.209	2
LRRK2	ENSG00000188906	OMIM	AD	23	218	1	-0.03	0.977	0.984	0.522	0.640	1
LZTR1	ENSG00000099949	OMIM	AD	5	464	1	0.99	0.416	0.524	0.191	1.994	4
MEFV	ENSG00000103313	OMIM	ADAR	15	387	2	-0.11	0.906	0.936	0.920	1.129	2
METTL23	ENSG00000181038	OMIM	AR	5	499	1	1.06	0.388	0.497	0.238	1.770	4
MIPEP	ENSG00000027001	OMIM	AR	3	546	0	0.00	0.961	0.974	0.295	1.035	1
MMAA	ENSG00000151611	OMIM	AR	7	486	1	0.44	0.707	0.787	0.476	1.290	1
MVD	ENSG00000167508	OMIM	AD	2	666	0	0.00	0.919	0.945	0.196	1.702	1
MVK	ENSG00000110921	OMIM	AR	14	326	3	1.26	0.134	0.220	0.314	0.545	1
NOD2	ENSG00000167207	OMIM	AD	6	570	1	0.35	0.767	0.833	0.769	1.363	2
OTOG	ENSG00000188162	OMIM	AR	23	389	4	0.71	0.330	0.438	0.969	0.749	3
PADI3	ENSG00000142619	OMIM	AR	6	583	1	0.53	0.654	0.742	0.936	0.943	3
PADI4	ENSG00000159339	OMIM	Other	3	584	0	0.00	0.836	0.884	0.947	1.136	2
PAH	ENSG00000171759	OMIM	AR	48	320	8	0.69	0.203	0.304	0.941	1.502	2
PAX4	ENSG00000106331	OMIM	AD	17	227	1	0.99	0.376	0.485	1.000	0.894	3
PEX1	ENSG00000127980	OMIM	AR	10	130	0	0.00	0.662	0.748	0.172	0.664	1
PEX6	ENSG00000124587	OMIM	AR	3	319	0	0.00	0.509	0.614	0.177	0.648	1
PHYH	ENSG00000107537	OMIM	AR	6	400	0	0.00	0.774	0.838	0.327	1.122	1
PKHD1	ENSG00000170927	OMIM	AR	13	319	2	0.74	0.430	0.539	0.964	0.681	3
PLEKHG2	ENSG00000090924	OMIM	AR	11	197	1	1.02	0.363	0.472	0.317	0.611	1
PLOD3	ENSG00000106397	OMIM	AR	5	159	0	0.00	0.237	0.341	0.202	0.819	1
PPP2R1B	ENSG00000137713	OMIM	Other	3	531	0	0.00	0.943	0.962	0.448	1.063	1
PROZ	ENSG00000126231	OMIM	Other	3	538	1	1.38	0.301	0.409	0.959	1.730	2
PRSS12	ENSG00000164099	OMIM	AR	13	493	3	0.30	0.729	0.804	0.710	1.240	2
PTGDR	ENSG00000168229	OMIM	Other	4	404	1	0.88	0.494	0.600	0.725	1.502	2
SCN11A	ENSG00000168356	OMIM	AD	5	616	2	1.21	0.274	0.382	0.959	0.828	3
SEC31A	ENSG00000138674	OMIM	AR	4	482	0	0.00	0.965	0.977	0.175	0.439	1
SEPN1	ENSG00000162430	OMIM	AR	6	588	1	0.37	0.751	0.821	0.136	1.017	1
SERPINB8	ENSG00000166401	OMIM	AR	4	665	0	0.00	0.621	0.713	0.541	1.413	2
SI	ENSG00000090402	OMIM	AR	34	249	3	0.08	0.917	0.944	0.982	1.040	2
SLC22A12	ENSG00000197891	OMIM	AR	12	278	1	1.13	0.317	0.425	1.000	1.299	2
SLC26A8	ENSG00000112053	OMIM	AD	6	354	1	1.23	0.304	0.413	0.953	0.835	3
SLCO1B3	ENSG00000111700	OMIM	Other	7	270	0	0.00	0.987	0.991	0.973	1.545	2
SP110	ENSG00000135899	OMIM	AR	3	361	1	2.00	0.139	0.226	0.409	0.945	4
STAG3	ENSG00000066923	OMIM	AR	6	142	0	0.00	0.412	0.521	0.784	0.606	3
SURF1	ENSG00000148290	OMIM	AR	5	546	1	0.53	0.662	0.748	0.088	1.724	1
TENM4	ENSG00000149256	OMIM	AD	2	343	1	2.80	0.055	0.105	0.863	0.173	3
TEX11	ENSG00000120498	OMIM	Other	21	1748	9	-1.32	0.032	0.068	0.973	0.080	3
TGIF1	ENSG00000177426	OMIM	AD	11	387	0	0.00	0.517	0.621	0.201	0.911	1
TGM3	ENSG00000125780	OMIM	AR	3	207	1	2.98	0.024	0.054	0.872	0.686	4
TNFRSF13B	ENSG00000240505	OMIM	ADAR	8	1096	3	-0.15	0.871	0.910	0.936	1.958	2
TTC18	ENSG00000156042	OMIM	AR	4	475	1	1.40	0.266	0.373	0.679	0.537	3
TYRP1	ENSG00000107165	OMIM	AR	6	783	1	-0.29	0.808	0.861	0.948	1.889	2
UPB1	ENSG00000100024	OMIM	AR	3	494	0	0.00	0.962	0.975	0.962	1.256	2
USH1C	ENSG00000006611	OMIM	AR	3	389	1	1.74	0.192	0.291	0.880	0.888	3
VWA3B	ENSG00000168658	OMIM	AR	4	192	0	0.00	0.256	0.362	0.969	0.940	3
WDR52	ENSG00000206530	OMIM	AR	4	272	0	0.00	0.488	0.595	0.454	0.561	1
ZFYVE26	ENSG00000072121	OMIM	AR	5	507	2	1.68	0.130	0.214	0.215	0.602	1
ZP1	ENSG00000149506	OMIM	AR	2	263	1	3.42	0.019	0.045	0.955	1.330	4
